Bereich	Zugänge_kg	Bewegungen_kg	Differenz_kg	NETTO_kg	Kategorie
A-01-39-1	0.00	0.00	0.00	0.00	Andere
A-01-38-1	0.00	0.00	0.00	0.00	Andere
FH-01-04	0.00	0.00	0.00	0.00	Andere
PLH-02-08	198.00	198.00	0.00	0.00	Fulfillment
PLH-04-05	64.00	64.00	0.00	0.00	Fulfillment
PLH-04-15	85.00	85.00	0.00	0.00	Fulfillment
GC-02-04-2	9.00	9.00	0.00	0.00	Andere
PLH-02-11	350.00	350.00	0.00	0.00	Fulfillment
PLH-02-12	389.00	389.00	0.00	0.00	Fulfillment
PLH-04-16	58.00	58.00	0.00	0.00	Fulfillment
A-01-09-1	0.00	0.00	0.00	0.00	Andere
A-01-11-1	0.00	0.00	0.00	0.00	Andere
A-01-21-1	0.00	0.00	0.00	0.00	Andere
A-01-22-1	0.00	0.00	0.00	0.00	Andere
PLH-04-11	56.00	56.00	0.00	0.00	Fulfillment
PLH-04-12	39.00	39.00	0.00	0.00	Fulfillment
PLH-01-02	0.00	0.00	0.00	0.00	Fulfillment
A-01-03-2	0.00	0.00	0.00	0.00	Andere
A-01-02-2	0.00	0.00	0.00	0.00	Andere
