Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Sauce - Cilantro Sour Cream,S,,44,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
cilantro sour cream (cup) - 44g

NET WEIGHT: 399g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,,,,,,,0.097,1.74153,0.10885,PCK-00-151924-5,3rd,

FV0160A - Beef Shepherds Pie [BNL],REC-013396-4-008,R,1,portions,Beef Shepherd's Pie Meat Base - enhanced,S,,140,grams,,SUB-013392-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"140gr meat base
140g mash
10g cheddar cheese
110g green beans
***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
140gr meat base
140g mash
10g cheddar

2ND COMPARTMENT
green beans - 110g

NET WEIGHT: 410g","SCHWEFELDIOXIDE UND SULFITE, SELLERIE, SENF",,0.80081,1,SCOOP,white,LEVEL,,,0.30865,6.16673,0.38542,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [BNL],REC-013396-4-008,R,1,portions,Shepherd Pie Mash Potatoes,S,,140,grams,,SUB-013394-4-001,PLANETARY MIXER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.89642,1,SCOOP,white,LEVEL,,,0.30865,5.509,0.34431,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [BNL],REC-013396-4-008,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.02205,0.35274,0.02205,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [BNL],REC-013396-4-008,R,1,portions,"Green beans - Plain S&P Roasted Green Beans, Whole",S,,110,grams,,SUB-013395-4-001,OVEN / BLAST CHILLER,,,,0.7671,"1
1","SCOOP
SCOOP","purple
white","LEVEL
LEVEL",,,0.24251,5.0582,0.31614,PCK-00-151923-5,2nd,

FV0160A - Beef Shepherds Pie [DE],REC-013396-4-007,R,1,portions,Beef Shepherd's Pie Meat Base - enhanced,S,,140,grams,,SUB-013392-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"140gr meat base
140g mash
10g cheddar cheese
110g green beans
***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
140gr meat base
140g mash
10g cheddar

2ND COMPARTMENT
green beans - 110g

NET WEIGHT: 410g","SCHWEFELDIOXIDE UND SULFITE, SELLERIE, SENF",,0.80081,1,SCOOP,white,LEVEL,,,0.30865,6.16673,0.38542,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [DE],REC-013396-4-007,R,1,portions,Shepherd Pie Mash Potatoes,S,,140,grams,,SUB-013394-4-001,PLANETARY MIXER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.89642,1,SCOOP,white,LEVEL,,,0.30865,5.509,0.34431,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [DE],REC-013396-4-007,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.02205,0.35274,0.02205,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [DE],REC-013396-4-007,R,1,portions,"Green beans - Plain S&P Roasted Green Beans, Whole",S,,110,grams,,SUB-013395-4-001,OVEN / BLAST CHILLER,,,,0.7671,"1
1","SCOOP
SCOOP","purple
white","LEVEL
LEVEL",,,0.24251,5.0582,0.31614,PCK-00-151923-5,2nd,

FV0160A - Beef Shepherds Pie [DKSE],REC-013396-4-003,R,1,portions,Beef Shepherd's Pie Meat Base - enhanced,S,,140,grams,,SUB-013392-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"140gr meat base
140g mash
10g cheddar cheese
110g green beans
***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
140gr meat base
140g mash
10g cheddar

2ND COMPARTMENT
green beans - 110g

NET WEIGHT: 410g","SCHWEFELDIOXIDE UND SULFITE, SELLERIE, SENF",,0.80081,1,SCOOP,white,LEVEL,,,0.30865,6.16673,0.38542,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [DKSE],REC-013396-4-003,R,1,portions,Shepherd Pie Mash Potatoes,S,,140,grams,,SUB-013394-4-001,PLANETARY MIXER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.89642,1,SCOOP,white,LEVEL,,,0.30865,5.509,0.34431,PCK-00-151923-5,Main,
