Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,13.66,13.66,grams,,,0.89385,13.66,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.59,0.59,grams,,,0.89385,0.59,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",Shredded Chicken Thighs - BRINED,SUB-013398-4-001,74.33,grams,BRINE,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,74.33,74.33,grams,,,0.4978,74.33,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",Shredded Chicken Thighs - BRINED,SUB-013398-4-001,74.33,grams,BRINE,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.66,0.66,grams,,,0.4978,0.66,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",Shredded Chicken Thighs - BRINED,SUB-013398-4-001,74.33,grams,BRINE,,,,,,,,,,,"FA-DE Chicken, Thighs, Boneless Skinless /Hähnchen, Oberschenkel, ohne Knochen und ohne Haut",PTN-00-139343-3,74.33,74.33,grams,,,0.4978,74.33,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.27,0.27,grams,,,1.00308,0.27,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,FA-DE Honey /Honig – Masse,PRO-00-139266-5,5.41,5.41,grams,,,1.00308,5.41,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.54,0.54,grams,,,1.00308,0.54,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,4.05,4.05,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,1.00308,4.05,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,0.27,0.27,grams,,,1.00308,0.27,grams
