Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Compound butter - Chili-Garlic,S,,6,grams,,SUB-013823-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,"3RD COMPARTMENT
6g butter
40g sauce Cupped

Total weight = 377g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.98001,1,SCOOP,silver #110,LEVEL,,,0.01323,0.21596,0.0135,PCK-00-151924-5,3rd,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Sauce - Cilantro Sour Cream,S,,40,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.98001,1,CUP,Cup,,,,0.08818,1.43974,0.08998,PCK-00-151924-5,3rd,

FV0322A - Sour Cream & Chive Chicken [DKSE],REC-014219-4-002,R,1,portions,Sour Cream and Chive Mashed Yukons (more salt),S,,110,grams,,SUB-014217-4-001,PLANETARY MIXER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
Next to each other: 
1) 110g sour cream and chive mash
butter (10g)
2) 60g broccoli
1 pc Chicken

2ND COMPARTMENT
110g green beans
",MILCH (EINSCHLIESSLICH LAKTOSE),,0.95705,1,SCOOP,grey,LEVEL,,,0.24251,4.05425,0.25339,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DKSE],REC-014219-4-002,R,1,portions,Broccoli - Roasted S&P,S,,60,grams,,SUB-016200-4-001,OVEN / BLAST CHILLER,,,,0.8136,,,,,,,0.13228,2.60132,0.16258,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DKSE],REC-014219-4-002,R,1,portions,Chive-Garlic Butter,S,,10,grams,,SUB-014218-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.99315,,,,,,,0.02205,0.35517,0.0222,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DKSE],REC-014219-4-002,R,1,portions,Grilled Chicken Breast Marinade #4 - Garlic Herb (EACH),S,,1,each,,SUB-014216-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.72948,,,,,,4.23288,0.26455,5.80257,0.36266,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DKSE],REC-014219-4-002,R,1,portions,S&P Roasted Green Beans 1,S,,110,grams,,SUB-014184-4-001,OVEN / BLAST CHILLER,,,,0.74605,,,,,,,0.24251,5.20088,0.32505,PCK-00-151923-5,2nd,

FV0333A - Tuscan Shrimp [DKSE],REC-013835-4-003,R,1,portions,Creamed Kale - Cream Cheese,S,,100,grams,,SUB-013834-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
creamed kale - 100g
shrimp - 7 EA (105g)
butter sauce - 35g","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.95227,1,SCOOP,green,LEVEL,,,0.22046,3.70419,0.23151,PCK-00-151923-5,Main,
FV0333A - Tuscan Shrimp [DKSE],REC-013835-4-003,R,1,portions,Tuscan Shrimp batch,S,,7,each,,SUB-013801-4-001,THAW / MARINADE / OVEN / BLAST CHILLER,,"KREBSTIERE, SCHWEFELDIOXIDE UND SULFITE",,0.70061,7,HAND_PORTIONED,Hand Portioned,,,3.70377,0.23149,5.28651,0.33041,PCK-00-151923-5,Main,
FV0333A - Tuscan Shrimp [DKSE],REC-013835-4-003,R,1,portions,Sauce - Tuscan Shrimp Butter Sauce,S,,35,grams,,SUB-013803-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,"MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE, SELLERIE",,0.89392,1,SCOOP,black,LEVEL,,,0.07716,1.38109,0.08632,PCK-00-151923-5,Main,
FV0333A - Tuscan Shrimp [DKSE],REC-013835-4-003,R,1,portions,"Zucchini/Pepper/Onion Mix for Tuscan Shrimp - 1/2"" Diced",S,,100,grams,,SUB-013802-4-001,OVEN / BLAST CHILLER,"2ND COMPARTMENT
zucchini/pepper mix - 100g

NET WEIGHT: 340g",,,0.89908,1,SCOOP,beige,NATURAL,,,0.22046,3.92333,0.24521,PCK-00-151923-5,2nd,

FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Sauce - Crack Chicken Cheese Mix,S,,50,grams,,SUB-013714-4-001,PLANETARY MIXER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
50g = cream cheese mixture 
140g = chicken
10g = cheddar cheese
10g = crispy bacon
10g = green onions",MILCH (EINSCHLIESSLICH LAKTOSE),,0.98,1,SCOOP,yellow,LEVEL,,,0.11023,1.7997,0.11248,PCK-00-151924-5,Main,
