Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,Jalapeno Roasted Zucchini,S,,80,grams,,SUB-013881-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,"80 g zucchini
130 g ground beef mix
15 g shredded mozzarella
35 g roasted peppers
120 g Cauliflower mash
5 g Green Onion 
***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
80 g zucchini
130 g ground beef mix
15 gshredded mozzarella
35 g roasted bell peppers

2ND COMPARTMENT
120 g mash
5 g scallion

Net weight : 385 g",,,0.7804,1,SCOOP,beige,LEVEL,,,0.17637,3.61597,0.226,PCK-00-151923-5,Main,
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,Keto Jalapeno - Cilantro Ground beef,S,,130,grams,,SUB-013882-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,,,0.67156,1,SCOOP,grey,LEVEL,,,0.2866,6.82831,0.42677,PCK-00-151923-5,Main,
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,"FA-DE Cheese, Mozzarella, Shredded /Käse, Mozzarella, gerieben",I,DAI-00-139125-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.03307,0.52911,0.03307,PCK-00-151923-5,Main,
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,Roasted Green and Red Bell Peppers - Diced - reduced salt,S,,35,grams,,SUB-013883-4-001,OVEN / BLAST CHILLER,,,,0.79997,1,SCOOP,purple,LEVEL,,,0.07716,1.54329,0.09646,PCK-00-151923-5,Main,
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,Mash - Bell pepper cauliflower mash - rice,S,,120,grams,,SUB-013884-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.89281,1,SCOOP,grey,LEVEL,,,0.26455,4.7411,0.29632,PCK-00-151923-5,2nd,
FV0402A - Spicy jalapeño bowl with beef  [BNL],REC-013885-4-005,R,1,portions,Roasted Green Onions,S,,5,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,,,,,,,0.01102,0.22767,0.01423,PCK-00-151923-5,2nd,

FV0601A - Mozzarella Burger & Roasted Potatoes [BNL],REC-013423-4-005,R,1,portions,Roasted Garlic and Parsley Roasted Potato - SH,S,,115,grams,,SUB-013390-4-001,OVEN / BLAST CHILLER,"**PLATING INSTRUCTIONS**

MAIN: 
115g potatoes
14g mozz / parsley
1 each burger
14g mozz / parsley

",,,0.77545,1,SCOOP,white,LEVEL,,,0.25353,5.23118,0.32695,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [BNL],REC-013423-4-005,R,1,portions,Mozzarella + Parsley Mix,S,,14,grams,,SUB-013419-4-001,HAND MIX,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.99961,1,SCOOP,black,NATURAL,,,0.03086,0.49403,0.03088,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [BNL],REC-013423-4-005,R,1,portions,Beef Burger Master EU,S,,1,each,,SUB-031776-4-001,HORIZONTAL MIXER / PATTY MAKER / OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.6701,1,HAND_PORTIONED,Hand Portioned,BY_TRAY,,4.58562,0.2866,6.84315,0.4277,PCK-00-151924-5,Main,
