"305","","","UPDATED ASSUMPTIONS: 02.10.24","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals",""
"","","Add-Ons AOV","","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00",""
"","","Total Gross AOV","","€64.10","€67.84","€65.73","€65.93","€68.95","€70.63","€71.75","€73.03","€74.15","€74.15","€75.67","€77.56","€78.85","€77.66","€77.78","€78.39","€77.70","€78.51","€78.53","€78.53","€77.83","€78.44","€79.00","€78.75","€77.55","€78.33","€77.65","€77.76","€78.74","€78.75","€78.85","€78.68","€79.28","€79.39","€78.87","€74.08","€74.77","€74.14","€74.26","€73.85","€74.64","€74.35","€74.09","€74.09","€73.87","€74.06","€74.05","€74.05","€74.05","€79.54","€78.72","€78.91","€78.60","€78.74","€79.74","€79.74","€79.77","€79.71","€79.21","€79.04","€79.94","€78.41","€77.94",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403,319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Model Drivers","","","Box size distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals per Box","","6.10","6.64","6.40","6.40","6.79","7.00","7.10","7.30","7.40","7.20","7.26","7.90","8.12","7.99","8.00","8.12","8.00","8.10","8.07","8.04","7.99","8.05","8.12","8.10","7.97","8.07","7.97","7.94","8.10","8.07","8.11","8.08","8.15","8.16","8.11","7.47","7.56","7.48","7.50","7.44","7.54","7.50","7.47","7.47","7.44","7.47","7.47","7.46","7.46","8.21","8.13","8.13","8.12","8.09","8.08","8.20","8.00","7.91","7.91","7.98","8.19","8.01","7.93",""
"","","","6","94.25%","83.00%","85.98%","86.15%","76.01%","70.71%","67.18%","61.00%","56.28%","56.28%","52.36%","45.45%","41.98%","44.69%","44.93%","41.43%","44.52%","43.06%","43.64%","43.64%","44.93%","44.01%","43.20%","43.43%","44.87%","42.23%","44.92%","45.51%","43.36%","44.16%","47.20%","48.22%","47.24%","48.00%","48.93%","52.99%","51.32%","53.20%","53.16%","53.26%","52.45%","52.73%","55.07%","55.07%","56.16%","54.63%","55.40%","55.40%","55.40%","51.74%","52.44%","52.50%","50.89%","51.27%","46.13%","46.13%","45.54%","44.56%","47.47%","48.45%","47.54%","51.16%","53.76%",""
"","","","8","4.60%","5.00%","10.84%","10.35%","15.82%","19.01%","20.05%","24.55%","28.05%","28.05%","28.96%","33.91%","33.03%","33.22%","32.90%","34.22%","32.41%","33.03%","33.16%","33.16%","32.94%","32.30%","32.45%","32.75%","33.45%","35.08%","33.25%","32.32%","32.89%","32.47%","27.81%","26.90%","26.74%","25.67%","25.08%","26.37%","25.75%","25.73%","25.00%","26.73%","24.92%","25.58%","22.87%","22.87%","22.00%","23.08%","22.70%","22.70%","22.70%","19.50%","19.87%","19.85%","21.56%","21.16%","24.19%","24.19%","25.10%","26.48%","24.48%","23.60%","22.59%","21.86%","20.21%",""
"","","","10","0.77%","10.00%","2.03%","1.90%","4.35%","4.97%","6.65%","7.65%","7.47%","7.47%","9.60%","10.12%","11.48%","10.31%","10.34%","11.05%","10.49%","10.74%","10.34%","10.34%","10.42%","11.56%","10.98%","10.47%","10.09%","10.53%","10.20%","10.57%","11.09%","10.58%","11.04%","11.17%","11.64%","11.72%","11.79%","14.92%","16.71%","15.22%","16.00%","14.84%","15.83%","15.40%","15.65%","15.65%","15.52%","16.81%","15.73%","15.73%","15.73%","12.03%","12.33%","11.94%","12.85%","12.42%","13.86%","13.86%","14.16%","13.80%","13.47%","13.68%","14.12%","13.49%","12.29%",""
"","","","12","0.13%","1.00%","0.75%","0.99%","1.72%","1.92%","2.28%","3.02%","3.46%","3.46%","4.04%","4.08%","6.42%","5.20%","4.50%","5.57%","5.19%","4.83%","5.10%","5.10%","4.14%","4.81%","5.30%","5.00%","4.99%","4.95%","4.92%","4.26%","5.45%","5.58%","5.88%","5.47%","5.44%","5.67%","5.91%","5.68%","6.12%","5.78%","5.80%","5.17%","6.74%","6.28%","6.37%","6.37%","6.28%","5.42%","5.66%","5.66%","5.66%","6.44%","6.04%","6.20%","6.19%","6.34%","6.63%","6.63%","6.34%","7.06%","6.26%","5.88%","6.37%","5.31%","5.28%",""
"","","","14","0.13%","1.00%","0.14%","0.30%","0.75%","1.39%","1.64%","1.70%","3.46%","3.46%","2.19%","2.51%","3.03%","2.58%","2.98%","2.98%","3.03%","3.61%","3.62%","3.62%","3.40%","3.47%","3.69%","3.63%","3.10%","3.28%","3.05%","3.11%","3.43%","3.13%","3.35%","3.76%","4.13%","3.62%","3.29%","0.04%","0.10%","0.07%","0.04%","0.00%","0.07%","0.00%","0.04%","0.04%","0.03%","0.06%","0.40%","0.40%","0.40%","4.12%","3.65%","3.77%","3.20%","3.29%","4.01%","4.01%","3.91%","4.04%","3.60%","3.61%","3.87%","3.72%","3.70%",""
