"1","2","3","4","5","6","7","8","9","10","","","11","12","13","14","15","","16","17","18","19","20","21","22","","","","","20","","","","",""
"W19","","","COPY FROM D4 OUTPUT","","IMPORTS FROM MENU DATABASE","","","","","","","","","","","","","MEAL UPTAKE BY SLOT","","","","","","","","","","","","","","","",""
"Slot BNL","Slot NOR","Week","Count BNL","Count NOR","BNL Count w/ buffer","NOR Count w/ buffer","Recipe ID","BF SKU","BF Name","Dutch Name","Danish Name","Name","Internal SKU number (BNL)","Internal SKU number (NOR)","Price","Production buffer","","BNL","","","","NORD","","","","","W Average of last 3 weeks","WA incl Buffer ","Nordics + 6","BNL + 0.06% / 12 ","","","",""
"401","451","W31","3725","1363","3747","1369","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","","W31","401","3725","31470","11.84%","451","1363","9916","14.05%","","","","","","","","","0.1229401247"
"402","452","W31","3189","1062","3208","1068","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","402","3189","","10.13%","452","1062","","10.95%","","","","","","","","","0.1027158943"
"403","453","W31","3561","1065","3582","1071","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","403","3561","","11.32%","453","1065","","10.98%","","","","","","","","","0.1117769294"
"404","454","W31","3914","1252","3937","1258","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","404","3914","","12.44%","454","1252","","12.91%","","","","","","","","","0.12482482"
"405","455","W31","2445","846","2460","852","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","405","2445","","7.77%","455","846","","8.72%","","","","","","","","","0.07951964432"
"406","456","W31","2706","791","2722","797","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","406","2706","","8.60%","456","791","","8.15%","","","","","","","","","0.08449717296"
"407","457","W31","2458","747","2473","753","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","407","2458","","7.81%","457","747","","7.70%","","","","","","","","","0.07744164693"
"408","458","W31","2629","830","2645","836","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","408","2629","","8.35%","458","830","","8.56%","","","","","","","","","0.08357898806"
"409","459","W31","852","208","864","214","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","409","852","","2.71%","459","208","","2.14%","","","","","","","","","0.02561252597"
"410","460","W31","589","182","601","188","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","410","589","","1.87%","460","182","","1.88%","","","","","","","","","0.01862948823"
