"1","3","4","6","8","9","10","","11","12","14","15","","16","17","18","19"
"W19","","COPY FROM D4 OUTPUT","","","","","","","","","","","MEAL UPTAKE BY SLOT","","",""
"Slot DE","Week","Count GER","DE Count w/ buffer","Recipe ID","BF SKU","BF Name","DE Name","Name","Internal SKU number (BNL)","Price","Production buffer","","BNL","","",""
"308","W46","819","831","FE4039C","565102","HF Zalm romige gochugaru sa","Laks i cremet gochugaru sauce","Salmon in creamy gochugaru sauce","CON-00-137744-2","","","W46","308","819","",""
"309","W46","298","310","FE0031B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","309","298","",""
"310","W46","377","389","FE0131C","565044","HF Black Bean & Rice Enchilada Bowl 400g","Mexikansk-inspireret bønnebowl ","Black bean bowl and enchilada sauce","CON-00-136625-3","","","W46","310","377","",""
"311","W46","251","263","FE1345A","565158","","Pulled beef & pasta i ostesauce","Pulled beef & pasta in cheese sauce","CON-00-148373-2","","","W46","311","251","",""
"312","W46","489","501","FE0036E","565042","HF Zalm+cheesy bloemk rijst","Laks og ostegratineret blomkålsris","Salmon on cheesy cauliflower rice","CON-00-136617-3","","","W46","312","489","",""
"313","W46","455","467","FE0130E","565197","HF Pulled chick rijst en bonen","Ris bowl med pulled chicken og tacokrydderier","Rice bowl with pulled chicken and taco spices","CON-00-136635-3","","","W46","313","455","",""
"314","W46","182","194","FE0780D","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","314","182","",""
"315","W46","98","110","FE4043A","565110","","Oksekød i tomatragout ","Beef in tomato ragout","CON-00-136720-3","","","W46","315","98","",""
"316","W46","311","323","FE4051A","565126","HF Kip tomatensaus mozzarella","Tomat- og mozzarella kylling","Tomato-mozzarella chicken","CON-00-137456-2","","","W46","316","311","",""
"317","W46","266","278","FE4022B","565146","HF RW Varkenshaas zwpeper sali","Svinemørbrad med sort peber og salvie","Pork tenderloin with black pepper and sage","CON-00-136684-3","","","W46","317","266","",""
"318","W46","122","134","FE4048A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","318","122","",""
"806","W46","7","19","FEA006A","","","Grillet kylling med hvidlød og urter","Garlic Herb Grilled Chicken","PTN-00-136930-3","","","W46","806","7","7559",""
"301","W47","1165","1177","FE4014B","565122","","Cremiges Basilikum-Risotto","Creamy basil risotto with chicken","CON-00-136675-3","€5.12","","W47","301","1165","","#REF!"
"302","W47","638","650","FE4015A","565072","HF Gegrilde kipfilet en ratatouille 429g","Grillhähnchen und Ratatouille","Grilled chicken and ratatouille","CON-00-136674-3","€4.87","","W47","302","638","","#REF!"
"303","W47","673","685","FE0746A","565091","HF Beef burrito bowl","Scharfes Rinderhack mit Jalapeños","Spicy ground beef with jalapenos","CON-00-136694-3","€5.08","","W47","303","673","","#REF!"
"304","W47","961","973","FE4038B","565160","","Hähnchen in Pilzsauce","Chicken in mushroom sauce","CON-00-136711-3","€5.17","","W47","304","961","5915",""
"305","W47","877","889","FE0224C","565047","HF Kip Florentine 404g","Hähnchen à la Florentine","Chicken à la Florentine","CON-00-136620-3","€4.22","","W47","305","877","",""
"306","W47","811","823","FE0025M","565149","HF Kip Piccata met broccoli","Hähnchen in Zitronen-Kapern-Sauce","Chicken in lemon-capers sauce","CON-00-136695-3","€5.01","","W47","306","811","",""
"307","W47","258","270","FE4020A","565071","HF Gegrilde varkenshaas met broccoli in paprikasaus","Gegrilltes Schweinefilet mit Brokkoli in Paprikasauce","Grilled pork tenderloin with broccoli in peppersauce","CON-00-136679-3","€5.14","","W47","307","258","",""
"308","W47","613","625","FE0035E","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W47","308","613","",""
"309","W47","289","301","FE0090C","565141","","Zucchini-Paprika-Ratatouille","Ratatouille of zucchini and pepper","CON-00-136634-3","€3.63","","W47","309","289","",""
"310","W47","263","275","FE0935A","565065","HF Vegetarische stoof met witte bonen 404g","Vegetarischer Bohnen-Eintopf","Vegetarian stew with white beans","CON-00-136660-3","€3.40","","W47","310","263","",""
"311","W47","239","251","FE4050A","565125","HF Gehakt en zwarte bonen bowl","Rindfleisch-Bohnen-Bowl","Beef & black bean bowl","CON-00-137312-2","€4.49","","W47","311","239","",""
"312","W47","484","496","FE1145B","565206","HF Zalm citroen dille yoghurt","Ofengerösteter Lachs & Dill-Joghurt","Roasted Salmon & Dill Yogurt","CON-00-151097-2","€5.73","","W47","312","484","",""
"313","W47","281","293","FE1131D","565166","HF Tex Mex style pulled chicke","Tex-Mex Hähnchen-Tinga","Tex-Mex Style Chicken Thigh Tinga","CON-00-149989-2","€4.94","","W47","313","281","",""
"314","W47","230","242","FE0833F","565169","HF Kip tabouleh met tzatziki","Tabbouleh-Reis & Gegrilltes Hähnchen","Tabbouleh Rice & Grilled Chicken","CON-00-150540-2","€5.03","","W47","314","230","",""
"315","W47","146","158","FE0160C","565153","HF Beef Shephards Pie","Shepherd’s Pie mit Rindfleisch","Beef Shepherd's Pie","CON-00-137164-3","€3.41","","W47","315","146","",""
"316","W47","145","157","FE0472B","565145","HF RW Butter Chicken","Indisches Butterhuhn","Indian style butter chicken","CON-00-136623-3","€5.33","","W47","316","145","",""
"317","W47","217","229","FE0430E","565140","","Schweinefilet in Paprikasauce","Pork tenderloin in red pepper sauce","CON-00-136639-3","€4.66","","W47","317","217","",""
"318","W47","101","113","FE0890B","565117","","Schweinefilet mit Apfel-Senf-Soße","Pork tenderloin with apple-mustard sauce","CON-00-136726-3","€4.80","","W47","318","101","",""
"806","W47","4","16","FEA006A","","","Gegrilltes Hähnchen mit Knoblauch-Kräutern","Garlic Herb Grilled Chicken","PTN-00-136930-3","€3.61","","W47","806","4","7714",""
"301","W48","1083","1095","FE0628B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","301","1083","","#REF!"
"302","W48","708","720","FE0426B","565035","HF Puree van aardappel en prei met gegrilde kip 416g","Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree","Grilled chicken fillet and potato leek mash","CON-00-136649-3","€4.59","","W48","302","708","","#REF!"
"303","W48","755","767","FE0713A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","303","755","","#REF!"
"304","W48","1013","1025","FE4040B","565172","","Hähnchen in cremiger Basilikumsauce","Chicken in creamy basil sauce","CON-00-136714-3","€5.19","","W48","304","1013","6479",""
"305","W48","898","910","FE4001B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","305","898","",""
"306","W48","621","633","FE0198C","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","306","621","",""
"307","W48","437","449","FE4022B","565146","HF RW Varkenshaas zwpeper sali","Schweinefilet mit schwarzem Pfeffer und Salbei","Pork tenderloin with black pepper and sage","CON-00-136684-3","€5.36","","W48","307","437","",""
"308","W48","588","600","FE4039C","565102","HF Zalm romige gochugaru sa","Lachs in cremiger Gochugaru-Sauce","Salmon in creamy gochugaru sauce","CON-00-137744-2","€7.17","","W48","308","588","",""
"309","W48","250","262","FE0425C","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","309","250","",""
"310","W48","230","242","FE0516A","565111","","Trottole mit getrockneten Tomaten","Sun-dried tomato trottole","CON-00-136721-3","€4.12","","W48","310","230","",""
"311","W48","248","260","FE0047G","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","311","248","",""
"312","W48","550","562","FE1320C","565196","HF Aji verde zalm","Ají Verde Lachs","Ají Verde Salmon","CON-00-151278-2","€6.40","","W48","312","550","",""
"313","W48","329","341","FE0322O","565163","HF Kip bieslook aardappel pure","Hähnchen mit Sauerrahm und Schnittlauch","Sour Cream & Chive Chicken","CON-00-149480-2","€4.70","","W48","313","329","",""
"314","W48","209","221","FE1351C","565185","HF Pasta paprika cheddar saus","Pasta mit Hähnchen, Cheddar und roter Paprika","Cheddar & Red Pepper Chicken Thigh Pasta","CON-00-151281-2","€3.68","","W48","314","209","",""
"315","W48","280","292","FE1346B","565184","HF Pulled beef & knoflook room","Pulled Beef in Parmesan-Knoblauch-Creme","Parmesan & Garlic Cream Pulled Beef","CON-00-150388-2","€4.13","","W48","315","280","",""
"316","W48","321","333","FE0970B","565164","","Hähnchen mit karamellisierten Zwiebeln & Emmentaler-Fondue","Caramelized Onion & Emmental Fondue Chicken","CON-00-148220-2","€4.34","","W48","316","321","",""
"317","W48","378","390","FE4060A","565134","","Schweinefilet mit Artischocken und Spinat","Artichoke & Spinach Pork tenderloin","CON-00-139494-2","€5.29","","W48","317","378","",""
"318","W48","127","139","FE1072A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W48","318","127","",""
"806","W48","8","20","FEA006A","","","Gegrilltes Hähnchen mit Knoblauch-Kräutern","Garlic Herb Grilled Chicken","PTN-00-136930-3","€3.61","","W48","806","8","#N/A",""
"301","W49","#N/A","#N/A","FE0224C","565047","HF Kip Florentine 404g","Hähnchen à la Florentine","Chicken à la Florentine","CON-00-136620-3","€4.22","","W49","301","#N/A","","#N/A"
"302","W49","#N/A","#N/A","FE4015A","565072","HF Gegrilde kipfilet en ratatouille 429g","Grillhähnchen und Ratatouille","Grilled chicken and ratatouille","CON-00-136674-3","€4.87","","W49","302","#N/A","","#N/A"
"303","W49","#N/A","#N/A","FE0849A","565060","HF Courgette-spaghetti bolognese 352g","Zucchini-Spaghetti Bolognese","Courgette-spaghetti bolognese","CON-00-136657-3","€5.05","","W49","303","#N/A","","#N/A"
"304","W49","#N/A","#N/A","FE4053A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W49","304","#N/A","#N/A",""
"305","W49","#N/A","#N/A","FE0271B","565132","","Cranberry-Hähnchen","Cranberry Chicken ","CON-00-136669-3","€4.46","","W49","305","#N/A","",""
"306","W49","#N/A","#N/A","FE0129G","565193","HF RW Peruaanse stijl kipfilet","Hähnchenbrust nach peruanischer Art","Peruvian style chicken breast","CON-00-136727-3","€4.53","","W49","306","#N/A","",""
"307","W49","#N/A","#N/A","FE4060A","565134","","Schweinefilet mit Artischocken und Spinat","Artichoke & Spinach Pork tenderloin","CON-00-139494-2","€5.29","","W49","307","#N/A","",""
"308","W49","#N/A","#N/A","FE0972B","565189","HF Zalm met piccata saus","Lachs Piccata","Salmon Piccata","CON-00-152025-2","€6.23","","W49","308","#N/A","",""
"309","W49","#N/A","#N/A","FE0090C","565141","","Zucchini-Paprika-Ratatouille","Ratatouille of zucchini and pepper","CON-00-136634-3","€3.63","","W49","309","#N/A","",""
"310","W49","#N/A","#N/A","FE0031B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W49","310","#N/A","",""
"311","W49","#N/A","#N/A","FE1345A","565158","","Pulled Beef und Pasta in Käsesauce","Pulled beef & pasta in cheese sauce","CON-00-148373-2","€4.79","","W49","311","#N/A","",""
"312","W49","#N/A","#N/A","FE4044C","565104","HF Zalm op tomatenrisotto","Lachs auf Tomatenrisotto","Salmon on tomato risotto","CON-00-136719-3","€6.38","","W49","312","#N/A","",""
"313","W49","#N/A","#N/A","FE4064A","565211","HF Gember knoflook kip","Gegrilltes Hähnchen in Ingwer-Knoblauch-Marinade","Ginger Garlic Grilled Chicken","CON-00-152024-2","€4.53","","W49","313","#N/A","",""
"314","W49","#N/A","#N/A","FE1404A","565190","HF Bulgogi pulled beef","Bulgogi-Bowl mit geschmortem Rindfleisch","Bulgogi Shredded Beef Bowl","CON-00-150963-2","€2.90","","W49","314","#N/A","",""
"315","W49","#N/A","#N/A","FE1506A","565176","HF Fajita style pulled beef","Fajita-Rindfleischstreifen mit Käse-Sauce","Fajita-Style Shredded Beef & Queso","CON-00-150601-2","€4.46","","W49","315","#N/A","",""
"316","W49","#N/A","#N/A","FE0024E","565150","HF RW Kipfilet in tom-roomsaus","Hähnchen in Tomatencreme","Chicken in tomato cream sauce","CON-00-136673-3","€4.95","","W49","316","#N/A","",""
"317","W49","#N/A","#N/A","FE0169H","565143","Varkenshaas in romige knoflook-mosterdsaus","Schweinefilet in cremiger Knoblauch-Senf-Sauce","Pork tenderloin in creamy garlic-mustard sauce","CON-00-136637-3","€4.88","","W49","317","#N/A","",""
"318","W49","#N/A","#N/A","FE4048A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W49","318","#N/A","",""
